Species,Region,Early,Late
Erythrodiplax minuscula (Little Blue Dragonlet) ,Statewide,6-Mar,8-Dec
,Blue Ridge,2-Aug,25-Sep
,Ridge+Valley/CumP,22-Apr,29-Aug
,Piedmont,17-Jun,15-Sep
,Coastal Plain,6-Mar,29-Nov
,,,
Ladona deplanata (Blue Corporal)  ,Statewide,9-Feb,18-Jun
,Blue Ridge,28-Mar,10-Jun
,Ridge+Valley/CumP,6-Mar,26-May
,Piedmont,24-Feb,30-Apr
,Coastal Plain,9-Feb,14-May
,,,
Libellula auripennis (Golden-winged Skimmer) ,Statewide,22-Apr,23-Oct
,Blue Ridge,19-May,24-Jun
,Ridge+Valley/CumP,24-May,29-Aug
,Piedmont,5-May,11-Jul
,Coastal Plain,22-Apr,16-Oct
,,,
Libellula axilena (Bar-winged Skimmer)  ,Statewide,8-May,13-Aug
,Blue Ridge,10-Jun,10-Jun
,Ridge+Valley/CumP,24-May,1-Aug
,Piedmont,23-Jun,23-Jun
,Coastal Plain,8-May,8-Aug
,,,
Libellula cyanea (Spangled Skimmer)  ,Statewide,10-Apr,2-Sep
,Blue Ridge,25-May,26-Jul
,Ridge+Valley/CumP,22-Apr,2-Aug
,Piedmont,21-Apr,23-Jul
,Coastal Plain,28-Apr,19-Jun
,,,
Libellula flavida (Yellow-sided Skimmer)  ,Statewide,21-Apr,11-Oct
,Blue Ridge,27-Apr,16-Sep
,Ridge+Valley/CumP,18-May,28-Sep
,Piedmont,13-May,23-Jun
,Coastal Plain,11-May,16-Aug
,,,
Libellula incesta (Slaty Skimmer) ,Statewide,2-May,7-Nov
,Blue Ridge,9-Jun,12-Oct
,Ridge+Valley/CumP,16-May,16-Oct
,Piedmont,18-May,30-Oct
,Coastal Plain,10-May,4-Nov
,,,
Libellula luctuosa (Widow Skimmer)  ,Statewide,30-Apr,2-Nov
,Blue Ridge,9-Jun,12-Oct
,Ridge+Valley/CumP,9-May,19-Oct
,Piedmont,6-May,20-Oct
,Coastal Plain,19-May,13-Jun
,,,
Libellula needhami (Needhams Skimmer) ,Statewide,22-Mar,23-Aug
,Coastal Plain,22-Mar,23-Aug
,Inland,4-Jun,30-Jul
,,,
Libellula pulchella (Twelve-spotted Skimmer)  ,Statewide,24-Apr,22-Oct
,Blue Ridge,13-May,24-Jun
,Ridge+Valley/CumP,25-Apr,20-Oct
,Piedmont,30-May,26-Sep
,Coastal Plain,24-Apr,17-Oct
,,,
Libellula semifasciata (Painted Skimmer)  ,Statewide,9-Mar,30-Jul
,Blue Ridge,17-Apr,27-Jun
,Ridge+Valley/CumP,2-Apr,13-Jul
,Piedmont,2-Apr,23-Jul
,Coastal Plain,20-Mar,22-Jul
,,,
Libellula vibrans (Great Blue Skimmer)  ,Statewide,8-Apr,11-Oct
,Blue Ridge,28-May,25-Aug
,Ridge+Valley/CumP,6-May,25-Sep
,Piedmont,6-May,11-Oct
,Coastal Plain,8-Apr,19-Sep
,,,
Macrodiplax balteata (Marl Pennant)  ,Statewide,29-Jun,11-Oct
,Coastal Plain,29-Jun,11-Oct
,,,
Miathyria marcella (Hyacinth Glider)  ,Statewide,22-Apr,16-Nov
,Piedmont,,
,Coastal Plain,20-Jun,9-Nov
,,,
Nannothemis bella (Elfin Skimmer)  ,Statewide,21-Apr,19-May
,Piedmont,,
,Coastal Plain,21-Apr,19-May
,,,
Orthemis ferruginea (Roseate Skimmer) ,Statewide,6-Mar,31-Dec
,Ridge+Valley/CumP,1-Aug,18-Oct
,Piedmont,30-Jun,4-Nov
,Coastal Plain,6-Mar,22-Dec
,,,
Pachydiplax longipennis (Blue Dasher) ,Statewide,13-Mar,20-Nov
,Blue Ridge,17-Apr,25-Sep
,Ridge+Valley/CumP,10-Apr,20-Oct
,Piedmont,16-Apr,6-Nov
,Coastal Plain,13-Mar,20-Nov
,,,
Pantala flavescens (Wandering Glider)  ,Statewide,21-Apr,31-Dec
,Blue Ridge,2-Sep,2-Sep
,Ridge+Valley/CumP,21-Jul,5-Nov
,Piedmont,3-Jun,6-Nov
,Coastal Plain,18-Jun,31-Dec
,,,
Pantala hymenaea (Spot-winged Glider) ,Statewide,21-Apr,12-Oct
,Blue Ridge,6-May,6-May
,Ridge+Valley/CumP,24-May,21-Aug
,Piedmont,17-May,28-Jul
,Coastal Plain,11-May,12-Oct
,,,
Perithemis tenera (Eastern Amberwing)          ,Statewide,1-Apr,6-Nov
,Blue Ridge,9-Jun,27-Sep
,Ridge+Valley/CumP,25-Apr,22-Oct
,Piedmont,6-May,30-Oct
,Coastal Plain,1-Apr,6-Nov
,,,
Plathemis lydia (Common Whitetail)     ,Statewide,6-Mar,6-Nov
,Blue Ridge,8-Apr,3-Oct
,Ridge+Valley/CumP,3-Apr,20-Oct
,Piedmont,19-Mar,30-Oct
,Coastal Plain,17-Mar,6-Nov
,,,
Sympetrum ambiguum (Blue-faced Meadowhawk)  ,Statewide,23-Apr,25-Nov
,Blue Ridge,6-Jul,24-Oct
,Ridge+Valley/CumP,25-Apr,25-Nov
,Piedmont,4-May,22-Nov
,Coastal Plain,23-Apr,20-Nov
,,,
Sympetrum corruptum (Variegated Meadowhawk) ,Statewide,16-Apr,16-Dec
,Ridge+Valley/CumP,,
,Piedmont,,
,Coastal Plain,27-Oct,16-Dec
,,,
Sympetrum rubicundulum (Ruby Meadowhawk)  ,Statewide,22-Jun,25-Sep
,Blue Ridge,26-Jun,22-Sep
,Ridge+Valley/CumP,22-Jun,25-Sep
,,,
Sympetrum semicinctum (Band-winged Meadowhawk)  ,Statewide,8-May,25-Jul
,Blue Ridge,27-Jun,25-Jul
,Ridge+Valley/CumP,24-May,12-Jul
,Piedmont,8-May,6-Jun
,,,
Sympetrum vicinum (Autumn Meadowhawk) ,Statewide,16-May,17-Dec
,Blue Ridge,29-Jun,22-Nov
,Ridge+Valley/CumP,16-May,17-Dec
,Piedmont,30-May,16-Dec
,Coastal Plain,16-Aug,16-Aug
,,,
Tramea carolina (Carolina Saddlebags)  ,Statewide,21-Feb,22-Dec
,Blue Ridge,8-May,28-Aug
,Ridge+Valley/CumP,21-Feb,13-Oct
,Piedmont,11-Mar,24-Sep
,Coastal Plain,16-Mar,22-Dec
,,,
Tramea lacerata (Black Saddlebags)  ,Statewide,20-Mar,15-Nov
,Blue Ridge,16-Apr,14-Aug
,Ridge+Valley/CumP,1-Apr,13-Oct
,Piedmont,16-Apr,26-Sep
,Coastal Plain,20-Mar,5-Nov
,,,
Tramea onusta (Red Saddlebags),Statewide,20-Jun,20-Jun
,Piedmont,20-Jun,20-Jun
,Coastal Plain,,
